03/22/21 2:22:53: style.scss - Undefined variable $loading-bg: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/style.scss on line 45, at column 3
03/22/21 2:22:53: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
03/22/21 2:23:44: style.scss - Undefined variable $loading-bg: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/style.scss on line 45, at column 3
03/22/21 2:23:44: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
03/22/21 2:24:19: style.scss - Undefined variable $loading-bg: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/style.scss on line 45, at column 3
03/22/21 2:24:19: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
03/22/21 2:24:21: style.scss - Undefined variable $loading-bg: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/style.scss on line 45, at column 3
03/22/21 2:24:21: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
03/22/21 4:49:07: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
03/22/21 4:51:09: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
03/22/21 4:53:10: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
03/22/21 4:55:11: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
03/22/21 4:57:11: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
03/23/21 2:40:31: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
03/23/21 2:40:33: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
03/23/21 2:40:38: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
03/23/21 2:42:32: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
03/23/21 2:42:34: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
03/23/21 2:44:34: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
03/23/21 2:44:34: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
03/23/21 2:46:34: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
03/23/21 2:46:36: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
03/23/21 2:48:35: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
03/23/21 2:48:36: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
03/23/21 2:50:36: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
03/23/21 2:50:37: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
04/11/21 9:01:19: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
04/11/21 9:01:24: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
04/11/21 9:01:30: header.scss - Undefined variable $menu-color: /Users/shotakawakatsu/Local Sites/ill-template/app/public/wp-content/themes/ill/asset/scss/header.scss on line 20, at column 3
